"","Fold Change","log2(FC)"
"386.32_1619.1848m/z",0.42656,-1.2292
"290.05_885.5406m/z",0.4266,-1.229
"308.64_767.542m/z",0.42678,-1.2284
"472.91_832.6683m/z",0.42684,-1.2282
"LPA(0:0/16:0)",0.42722,-1.227
"326.44_935.5657m/z",0.42726,-1.2268
"591.77_802.7003m/z",0.42761,-1.2256
"578.53_898.7051m/z",0.42789,-1.2247
"504.27_661.5383m/z",0.42836,-1.2231
"110.96_654.3045m/z",0.42848,-1.2227
"386.78_1670.2053m/z",0.42927,-1.2201
"623.36_798.7466m/z",0.42944,-1.2195
"295.87_852.4784m/z",2.3286,1.2194
"616.74_937.8059m/z",0.42958,-1.219
"507.92_908.6585m/z",0.42985,-1.2181
"606.94_871.7595m/z",0.42986,-1.2181
"V2FC",0.43007,-1.2174
"503.36_854.7015m/z",0.43032,-1.2165
"459.22_1649.349m/z",0.43085,-1.2147
"111.99_554.5178m/z",0.43134,-1.2131
"623.36_797.7433m/z",0.43144,-1.2128
"606.7_909.7742m/z",0.43163,-1.2121
"633.86_628.5368m/z",0.43171,-1.2118
"609.67_605.5459m/z",0.43175,-1.2117
"473.13_880.6267m/z",0.43227,-1.21
"328.72_838.56m/z",0.43321,-1.2069
"595.87_996.8056m/z",0.43323,-1.2068
"606.48_815.6575m/z",0.43349,-1.2059
"328.72_764.5232m/z",0.43375,-1.2051
"648.23_953.8374m/z",0.43524,-1.2001
"689.41_966.8562m/z",2.2964,1.1994
"346.74_1536.1592m/z",0.4358,-1.1983
"375.37_889.5793m/z",0.43604,-1.1975
"359.29_720.4966m/z",0.43661,-1.1956
"446.21_642.52m/z",0.43718,-1.1937
"V3TG",0.43721,-1.1936
"491.26_894.6428m/z",0.43729,-1.1933
"588.8_813.6427m/z",0.43742,-1.1929
"596.79_894.756m/z",0.43763,-1.1922
"467.89_667.6032m/z",2.282,1.1903
"507.92_832.6658m/z",0.43821,-1.1903
"563.25_795.6822m/z",0.43841,-1.1896
"PI(16:0/22:5)",0.4386,-1.189
"625.41_1067.6286m/z",0.43913,-1.1873
"340.81_545.4287m/z",0.44023,-1.1837
"582.87_920.763m/z",0.4406,-1.1825
"387.01_1580.1719m/z",0.4407,-1.1821
"PC(16:0/20:5)",0.44074,-1.182
"603.86_789.6374m/z",0.44082,-1.1817
"141.53_254.2202m/z",0.44153,-1.1794
"269.75_486.2748m/z",0.44197,-1.178
"408.68_1586.2144m/z",0.44208,-1.1776
"491.04_856.6873m/z",0.4424,-1.1766
"54.62_363.1239m/z",0.44283,-1.1752
"246.02_415.3205m/z",2.2583,1.1752
"586.52_771.6478m/z",0.44298,-1.1747
"625.41_825.7659m/z",0.44306,-1.1744
"444.61_904.631m/z",0.44385,-1.1719
"328.27_783.5649m/z",0.4439,-1.1717
"LPI(0:0/18:1)",0.44399,-1.1714
"558.0_864.7081m/z",0.44423,-1.1706
"125.33_538.351m/z",0.44465,-1.1693
"573.29_796.6553m/z",0.4447,-1.1691
"234.5_364.3125m/z",2.248,1.1687
"634.08_939.8218m/z",0.44495,-1.1683
"659.18_861.792m/z",0.44503,-1.168
"356.1_867.5924m/z",0.44552,-1.1664
"507.92_909.6616m/z",0.44617,-1.1643
"V3PL",0.44641,-1.1636
"553.21_903.7761m/z",0.4466,-1.163
"689.41_960.8973m/z",2.2358,1.1608
"LPI(20:3/0:0)_1",0.44737,-1.1605
"445.07_791.6543m/z",0.44762,-1.1596
"581.5_968.7717m/z",0.44774,-1.1593
"473.59_842.672m/z",0.44909,-1.1549
"385.64_1645.2006m/z",0.4498,-1.1526
"291.19_558.4615m/z",2.223,1.1525
"541.92_736.6457m/z",0.44999,-1.152
"100.81_435.2512m/z",0.45031,-1.151
"689.41_965.8527m/z",2.2208,1.151
"689.41_961.9007m/z",2.22,1.1505
"319.37_803.6641m/z",0.45064,-1.1499
"420.78_549.4885m/z",0.45154,-1.1471
"599.07_812.6819m/z",0.45192,-1.1459
"459.22_1648.345m/z",0.45206,-1.1454
"407.09_829.6818m/z",2.2111,1.1447
"461.04_923.6393m/z",0.45263,-1.1436
"656.22_934.7951m/z",0.45365,-1.1404
"565.3_872.6925m/z",0.45384,-1.1397
"409.6_813.5251m/z",0.45392,-1.1395
"386.78_1669.2015m/z",0.45392,-1.1395
"591.54_801.697m/z",0.45397,-1.1393
"566.67_765.6802m/z",0.45415,-1.1388
"591.54_825.6869m/z",0.45426,-1.1384
"194.8_539.4311m/z",0.45443,-1.1379
"LPI(18:1/0:0)_1",0.45526,-1.1352
"583.1_919.7594m/z",0.45586,-1.1333
"386.55_834.8239m/z",0.45621,-1.1322
"TG(44:2)",0.45666,-1.1308
"642.98_850.6583m/z",0.4574,-1.1285
"296.44_601.5188m/z",2.1858,1.1281
"409.6_1624.2298m/z",0.45801,-1.1265
"689.41_982.8316m/z",2.1823,1.1259
"295.76_603.5256m/z",2.1819,1.1256
"339.67_774.6214m/z",0.45839,-1.1253
"659.18_862.795m/z",0.45851,-1.125
"472.45_906.6421m/z",0.45865,-1.1245
"451.23_536.4381m/z",0.45888,-1.1238
"328.49_825.5456m/z",0.45905,-1.1233
"290.05_884.5372m/z",0.4593,-1.1225
"328.49_961.4771m/z",0.45967,-1.1213
"625.41_523.4725m/z",0.46057,-1.1185
"329.4_780.5548m/z",0.4606,-1.1184
"112.45_595.3017m/z",0.46102,-1.1171
"379.02_731.9322m/z",0.46115,-1.1167
"Hexadecenoic acid FA(16:1)",0.46119,-1.1166
"287.31_728.5235m/z",0.46142,-1.1159
"269.29_676.492m/z",0.46178,-1.1147
"582.64_745.6308m/z",0.46187,-1.1144
"606.94_870.7562m/z",0.46203,-1.114
"427.05_1550.2566m/z",0.46205,-1.1139
"570.55_790.6926m/z",0.46208,-1.1138
"71.61_618.0005m/z",0.46224,-1.1133
"565.53_892.739m/z",0.46257,-1.1122
"596.1_780.7077m/z",0.46275,-1.1117
"223.09_595.4934m/z",0.46353,-1.1093
"408.68_1587.2173m/z",0.46375,-1.1086
"111.99_1185.6093m/z",0.46412,-1.1074
"111.99_1186.6124m/z",0.46477,-1.1054
"301.46_376.2595m/z",0.46544,-1.1033
"141.53_253.2167m/z",0.46584,-1.1021
"689.41_962.9043m/z",2.1466,1.102
"LPI(16:1/0:0)",0.46608,-1.1013
"625.41_846.6828m/z",0.4664,-1.1004
"329.4_781.5582m/z",0.46645,-1.1002
"139.48_288.2402m/z",0.46663,-1.0996
"597.01_895.7594m/z",0.46676,-1.0992
"290.05_883.5335m/z",0.46689,-1.0988
"589.03_805.7117m/z",0.46717,-1.098
"LPI(22:5/0:0)",0.46731,-1.0975
"625.41_524.4759m/z",0.46834,-1.0944
"588.8_798.667m/z",0.46832,-1.0944
"658.27_552.5071m/z",0.46861,-1.0935
"90.32_301.2166m/z",0.46902,-1.0923
"595.65_549.4876m/z",0.46929,-1.0915
"328.72_876.5156m/z",0.46939,-1.0911
"662.83_891.821m/z",0.46954,-1.0907
"54.84_265.1473m/z",0.46955,-1.0906
"576.48_656.5511m/z",0.46985,-1.0897
"LPA(22:6/0:0)",0.47014,-1.0889
"591.54_855.6533m/z",0.47011,-1.0889
"328.49_974.4918m/z",0.47038,-1.0881
"591.54_818.7244m/z",0.47203,-1.083
"606.7_908.7717m/z",0.47213,-1.0827
"355.87_852.5753m/z",0.47243,-1.0818
"625.41_827.7116m/z",0.47268,-1.0811
"623.13_801.6954m/z",0.47273,-1.0809
"115.64_550.2547m/z",0.47291,-1.0804
"328.95_1775.1123m/z",0.47335,-1.079
"90.32_302.2249m/z",0.47344,-1.0787
"472.45_907.6454m/z",0.4737,-1.078
"590.17_830.7239m/z",0.4738,-1.0776
"599.75_943.7091m/z",0.47387,-1.0774
"625.41_828.7151m/z",0.47456,-1.0754
"386.55_749.5312m/z",0.47523,-1.0733
"591.54_820.7313m/z",0.47539,-1.0728
"639.56_983.8082m/z",0.47572,-1.0718
"306.59_820.5507m/z",0.47579,-1.0716
"554.12_814.6912m/z",0.47604,-1.0709
